DomainId,Name
523,tiempolibre.ciudadfutura.com
524,www.business.msn.com.sg
525,www.computing.msn.com.sg
526,www.news.msn.com.sg
527,www.partner.msn.co.kr
528,juegos.ciudadfutura.com
529,www.bcentral.it
530,sa.bcentral.com
531,informatica.ciudadfutura.com
532,cine.ciudadfutura.com
533,lords.msn.com
534,icereg.msn.com
535,cars.msn.co.uk
536,salud.ciudadfutura.com
537,deportes.ciudadfutura.com
538,viajes.ciudadfutura.com
539,amistad.ciudadfutura.com
540,msn.gamepoint.net
541,carriere.msn.fr
542,icereg2.msn.com
543,www.bcentral.ca
544,www.bcentral.com.au
545,www.bcentral.com.br
546,demo.dealers.carpoint.msn.com
547,www.fr.msn.be
548,money.msn.nl
549,profiles.latam.msn.com
550,love.msn.co.jp
551,fr-camobile.msn.com
552,specials.msn.com
553,music.msn.com
554,zone.msn.com
555,people.msn.co.jp
556,gamesweb.games.msn.de
557,business.msn.co.jp
558,mypetstop.webienne.msn.de
559,salespoint.dealerconnection.com
560,acura.carpoint.msn.com
561,dealerpoint.net
562,training.msn.com
563,honda.carpoint.msn.com
564,academynow.e-learning.msn.de
565,sms.mobil.msn.de
566,moneycentral.msn.ca
567,training.msn.co.uk
568,encarta.ninemsn.com.au
569,encarta.msn.it
570,encarta.msn.es
571,gamezone.msn.co.uk
572,au.zone.msn.com
573,jp.zone.msn.com
574,alerts.microsoft.com
575,eshop.msn.ca
576,egreetings.msn.com
577,womencentral.msn.com
578,redir.encarta.com
579,xx-well.webienne.msn.de
580,communities.msn.com.cn
581,communities.msn.co.in
582,chat.msn.co.in
583,profiles.msn.at
584,explorer.ninemsn.com.au
585,profiles.msn.be
586,profiles.msn.ca
587,profiles.msn.ch
588,profiles.msn.co.in
589,profiles.msn.co.jp
590,profiles.msn.co.kr
591,explorer.msn.at
592,explorer.fr.msn.be
593,explorer.msn.be
594,explorer.msn.com.br
595,explorer.msn.ca
596,explorer.fr.msn.ca
597,explorer.msn.cn
598,explorer.msn.dk
599,explorer.msn.fi
600,explorer.msn.fr
601,explorer.msn.de
602,explorer.msn.com.hk
603,explorer.msn.co.in
604,explorer.msn.it
605,explorer.msn.co.jp
606,explorer.msn.co.kr
607,explorer.latam.msn.com
608,explorer.msn.com.my
609,explorer.t1msn.com.mx
610,explorer.msn.nl
611,explorer.xtramsn.co.nz
612,explorer.msn.no
613,explorer.msn.com.sg
614,explorer.msn.co.za
615,explorer.msn.es
616,explorer.msn.se
617,explorer.msn.ch
618,explorer.fr.msn.ch
619,explorer.msn.com.tw
620,explorer.msn.co.uk
621,profiles.msn.co.nz
622,profiles.msn.co.uk
623,profiles.msn.co.za
624,essentials.uk.msn.com
625,flirt.webienne.msn.de
626,billing.msn.com
627,money.fr.msn.com
628,money.msn.ch
629,money.msn.dk
630,money.msn.no
631,partner.msn.com
632,pocket-pc.msn.de
633,pocketpc.msn.de
634,preview.msn.co.uk
635,sms.msn.fr
636,specials.fr.msn.com
637,accountservices.msn.com
638,letstrade.money.msn.de
639,business.msn.de
640,www.bcentral.es
641,www.bcentral.fr
642,www.bcentral.nl
643,www.bcentralpreview.com
644,www.knuut.msn.de
645,communicate.uk.msn.com
646,memberservices.de.msn.com
647,patagon.moneycentral.msn.de
648,profiles.msn.com.br
649,profiles.msn.com.hk
650,explorer.msn.fr.ca
651,janet.msn.co.jp
652,patagon.money.msn.de
653,gourmet.msn.co.jp
654,dave.msn.co.jp
655,auto.search.msn.com
656,profiles.msn.com.my
657,ca.moneycentral.com
658,calendar.msn.com
659,calendar.msn.de
660,calendar.msn.at
661,calendar.msn.ch
662,calendar.msn.co.uk
663,calendar.msn.ca
664,calendar.ninemsn.com.au
665,calendar.msn.co.in
666,calendar.msn.co.nz
667,calendar.msn.com.sg
668,calendar.msn.com.my
669,calendar.msn.co.za
670,calendar.msn.es
671,calendar.msn.com.mx
672,calendar.latam.msn.com
673,calendar.msn.fr
674,calendar.fr.msn.ch
675,calendar.fr.msn.ca
676,calendar.fr.msn.be
677,calendar.msn.it
678,calendar.msn.co.jp
679,calendar.msn.co.kr
680,calendar.msn.nl
681,calendar.msn.be
682,calendar.msn.com.br
683,calendar.msn.se
684,calendar.msn.com.tw
685,calendar.msn.com.hk
686,invites.msn.com
687,invites.msn.de
688,invites.msn.at
689,invites.msn.ch
690,invites.msn.co.uk
691,invites.msn.ca
692,invites.ninemsn.com.au
693,invites.msn.co.in
694,invites.msn.co.nz
695,invites.msn.com.sg
696,invites.msn.com.my
697,invites.msn.co.za
698,invites.msn.es
699,invites.msn.com.mx
700,invites.latam.msn.com
701,invites.msn.fr
702,invites.fr.msn.ch
703,invites.fr.msn.ca
704,invites.fr.msn.be
705,invites.msn.it
706,invites.msn.co.jp
707,invites.msn.co.kr
708,invites.msn.nl
709,invites.msn.be
710,invites.msn.com.br
711,invites.msn.se
712,invites.msn.com.tw
713,invites.msn.com.hk
714,oda.msn.co.jp
715,westlife.msn.co.jp
716,beta.search.fr.msn.be
717,privacy.msn.com.hk
718,privacy.msn.co.in
719,privacy.msn.com.my
720,privacy.msn.com.sg
721,privacy.msn.co.kr
722,privacy.msn.com.tw
723,privacy.msn.at
724,privacy.fr.msn.be
725,privacy.msn.be
726,privacy.msn.dk
727,privacy.msn.fi
728,privacy.msn.fr
729,privacy.msn.de
730,privacy.msn.it
731,privacy.msn.nl
732,privacy.msn.no
733,privacy.msn.co.za
734,privacy.msn.es
735,privacy.msn.se
736,privacy.fr.msn.ch
737,privacy.msn.ch
738,privacy.msn.co.uk
739,privacy.ninemsn.com.au
740,privacy.msn.com.br
741,privacy.fr.msn.ca
742,privacy.msn.ca
743,privacy.latam.msn.com
